SR_Pcode,State_Region,Tsp_Pcode,Township,Facility,Date,Male,Female,Total
MMR008,Bago,MMR008014,Gyobingauk,ဗောဓိရိပ်သာကျောင်းတိုက်,12/4/2020,2,1,3
MMR008,Bago,MMR008014,Gyobingauk,အထက (ကြို့ပင်ကောက်),12/4/2020,19,6,25
MMR008,Bago,MMR008014,Gyobingauk,မူလွန်ကံဦး,12/4/2020,0,0,0
MMR008,Bago,MMR008014,Gyobingauk,မူလွန် ကိုင်းယားရှည်,12/4/2020,0,0,0
MMR008,Bago,MMR008014,Gyobingauk,မူလွန် ကွင်းချောင်း,12/4/2020,2,0,2
MMR008,Bago,MMR008014,Gyobingauk,မူလွန် ဘိုရုံစု,12/4/2020,0,0,0
MMR008,Bago,MMR008014,Gyobingauk,မူလွန် ကံကလေး,12/4/2020,1,0,1
MMR008,Bago,MMR008014,Gyobingauk,(အမက) တောင်ပို့ပြောင်,12/4/2020,0,0,0
MMR008,Bago,MMR008014,Gyobingauk,(အထက) ရွေဗန်းတော,12/4/2020,4,0,4
MMR008,Bago,MMR008014,Gyobingauk,အထက (ခွဲ) ကျွန်းကုန်းကြီး,12/4/2020,1,0,1
MMR008,Bago,MMR008014,Gyobingauk,(အမက) သရက်ကုန်း,12/4/2020,0,0,0
MMR008,Bago,MMR008014,Gyobingauk,(အမက) ကြို့ကုန်း,12/4/2020,0,0,0
MMR008,Bago,MMR008014,Gyobingauk,(အမက) ငှက်ကြီးသိုက်,12/4/2020,0,0,0
MMR008,Bago,MMR008014,Gyobingauk,အထက်စိန်ကြီးရိုးဘုန်းကြီးကျောင်း,12/4/2020,0,0,0
MMR008,Bago,MMR008014,Gyobingauk,(အမက) စိုင်‌ဂေါင်း,12/4/2020,0,0,0
MMR008,Bago,MMR008014,Gyobingauk,စမ်းအိုင် ငှက်ပျောတောခြံ,12/4/2020,0,0,0
MMR008,Bago,MMR008014,Gyobingauk,(အမက) ရွာသစ်,12/4/2020,0,0,0
MMR008,Bago,MMR008014,Gyobingauk,(အလက) ရှမ်းကွင်း,12/4/2020,0,,0
MMR008,Bago,MMR008014,Gyobingauk,(အမက) ကြို့ပင်ဝိုင်း,12/4/2020,3,2,5
MMR008,Bago,MMR008014,Gyobingauk,အုတ်တွင်းကုန်း ဘုန်းကြီးကျောင်း,12/4/2020,,,0
MMR008,Bago,MMR008014,Gyobingauk,(အမက) ဥယျာဉ်ကြီး,12/4/2020,0,0,0
MMR008,Bago,MMR008014,Gyobingauk,ရန်ကြီးအောင် ဓမ္မာရုံ,12/4/2020,0,0,0
MMR008,Bago,MMR008014,Gyobingauk,(အမက) ရှားဖြူကုန်း,12/4/2020,0,0,0
MMR008,Bago,MMR008014,Gyobingauk,(အမက) မြို့တွင်း,12/4/2020,1,0,1
MMR008,Bago,MMR008014,Gyobingauk,အထက (ခွဲ) ကြခတ္တန်းကြီး,12/4/2020,0,0,0
MMR008,Bago,MMR008014,Gyobingauk,(အမက)လက်ပံဖြူ,12/4/2020,0,0,0
MMR008,Bago,MMR008014,Gyobingauk,အထက (ခွဲ)လှေတုန်း,12/4/2020,0,0,0
MMR008,Bago,MMR008014,Gyobingauk,(အမက) ဂုံညင်းတန်း,12/4/2020,0,0,0
MMR008,Bago,MMR008014,Gyobingauk,အထက (ခွဲ) ရှားပင်ထ,12/4/2020,2,0,2
MMR008,Bago,MMR008014,Gyobingauk,(အမက) ယောက်ချောင်း,12/4/2020,0,0,0
MMR008,Bago,MMR008014,Gyobingauk,ရွာသစ််ရဲကင်း,12/4/2020,8,0,8
MMR008,Bago,MMR008014,Gyobingauk,(အမက) အုန်းနှဲကျောတန်း (ရှေ့),12/4/2020,3,1,4
MMR008,Bago,MMR008014,Gyobingauk,(အမက) ဂွေးချောင်း,12/4/2020,0,0,0
MMR008,Bago,MMR008014,Gyobingauk,မကျီးကုန်း ဘုန်းကြီးကျောင်း,12/4/2020,0,0,0
MMR008,Bago,MMR008014,Gyobingauk,ဖလံကုန်းဘုရားကြီး,12/4/2020,1,0,1
MMR008,Bago,MMR008014,Gyobingauk,(အမက) အိုးဘိုကုန်း,12/4/2020,0,0,0
MMR008,Bago,MMR008014,Gyobingauk,(အမက) သပြေရုံ,12/4/2020,0,0,0
MMR008,Bago,MMR008014,Gyobingauk,(အမက) သခွတ်ပင်,12/4/2020,0,0,0
MMR008,Bago,MMR008014,Gyobingauk,(အမက) ဘန်းဘွေးကုန်း,12/4/2020,1,0,1
MMR008,Bago,MMR008014,Gyobingauk,(အမက) ညောင်လှ,12/4/2020,1,,1
MMR008,Bago,MMR008014,Gyobingauk,(အမက)လိန်ပင်ကွင်း,12/4/2020,2,2,4
MMR008,Bago,MMR008014,Gyobingauk,(အမက) ဘုကြီး,12/4/2020,2,,2
MMR007,Bago,MMR008101,Taungoo,ကရင်ချောင်းကျေးရွာအုပ်စု (ကျေးအင်း-ထုံးဘို အထက်တန်းကျောင်း),30/3/2020,6,4,10
MMR007,Bago,MMR008101,Taungoo,အနောက်ဆင်ကျေးရွာအုပ်စု (ဆင်ရွာ မူလွန်ကျောင်း),30/3/2020,5,1,6
MMR007,Bago,MMR008101,Taungoo,သဖန်းပင်ကျေးရွာအုပ်စု,30/3/2020,4,9,13
MMR007,Bago,MMR008101,Taungoo,သီတဂူ ဗုဒ္ဓတက္ကသိုလ်,30/3/2020,1,1,2
MMR007,Bago,MMR008101,Taungoo,ရှမ်းမင်းသားဟိုတယ်,30/3/2020,5,1,6
MMR007,Bago,MMR008101,Taungoo,ဇီးကုန်းကျေးရွာအုပ်စု (ကမ္ဘားနီ မူလွန်ကျောင်းနှင့် တဲ),30/3/2020,3,2,5
MMR007,Bago,MMR008101,Taungoo,ရွှေလေးအင်းကျေးရွာအုပ်စု (ချောင်းကမ်း မူလွန်ကျောင်း),30/3/2020,5,0,5
MMR007,Bago,MMR008101,Taungoo,မဟင်ကျေးရွာအုပ်စု (အိုင်သုံးဆင့် စာသင်ကျောင်း),30/3/2020,1,3,4
MMR007,Bago,MMR008101,Taungoo,ဒိုးအင်းကျေးရွာအုပ်စု,30/3/2020,7,5,12
MMR007,Bago,MMR008101,Taungoo,ဇီးဒိုင်းကျေးရွာအပ်စု (ဇောတိ မူလွန်ကျောင်း),30/3/2020,1,0,1
MMR007,Bago,MMR008101,Taungoo,အ.ထ.က (၆),30/3/2020,2,0,2
MMR007,Bago,MMR008101,Taungoo,မြို့သစ် အ.ထ.က (ကေတုမတီ),30/3/2020,4,0,4
MMR007,Bago,MMR008101,Taungoo,ရပ်ကွက် (၂) တောင်ပို့ကြီးဘုရား ဓမ္မာရုံကျောင်း,30/3/2020,2,0,2
MMR007,Bago,MMR008101,Taungoo,စပါးကြွယ်ကျေးရွာအုပ်စု (စပါးကြွယ် အ.လ.က ခွဲ),30/3/2020,0,1,1
MMR007,Bago,MMR008101,Taungoo,ဆင်ဆိပ်ကျေးရွာအုပ်စု (ခပေါင်းတိန် စာသင်ကျောင်း),30/3/2020,1,0,1
MMR007,Bago,MMR008101,Taungoo,ဆင်ဆိပ်ကျေးရွာအုပ်စု (ကံလှကျေးရွာ ဘုရားစောင်းတန်း),30/3/2020,1,0,1
MMR007,Bago,MMR008101,Taungoo,ဆင်ဆိပ်ကျေးရွာအုပ်စု (ပန်းပဲ စာသင်ကျောင်း),30/3/2020,1,1,2
MMR007,Bago,MMR008101,Taungoo,ဆူးတပ်ကျေးရွာအုပ်စု (ဆူးတပ်ဘုန်းကြီးကျောင်း),30/3/2020,1,0,1
MMR007,Bago,MMR008101,Taungoo,ပဒဲကျေးရွာအုပ်စု (ပဒဲ အ.ထ.က (ခွဲ) ကျောင်း),30/3/2020,2,2,4
MMR007,Bago,MMR008101,Taungoo,ဘိုကတော်ကျေးရွာအုပ်စု (ကင်းငယ်ရိပ်သာ),30/3/2020,2,1,3
MMR007,Bago,MMR008101,Taungoo,မြောက်ရေကြည်ကျေးရွာအုပ်စု (မြောက်ရေကြည် မူလွန်ကျောင်း),30/3/2020,20,5,25
MMR007,Bago,MMR008101,Taungoo,ရှမ်းစုကြီးကျေးရွာအုပ်စု (ပွတ်စု မူလွန်ကျောင်း),30/3/2020,0,2,2
MMR007,Bago,MMR008101,Taungoo,ဝက်ခေါက်စိန်ကျေးရွာအုပ်စု (ဝက်ခေါက်စိန် အ.လ.က),30/3/2020,1,0,1
MMR007,Bago,MMR008101,Taungoo,အရှေ့ဆင်ကျေးရွာအုပ်စု (ကျွန်းတောကုန်း မူလွန်ကျောင်း),30/3/2020,3,1,4
MMR010,Mandalay,MMR010031,Wundwin,သဲတော-ဝမ်းတွင်း (အ.ထ.က),31/3/2020,NA,NA,23
MMR010,Mandalay,MMR010031,Wundwin,ကုက္ကိုခါးလှ (အ.ထ.က) (ခွဲ),31/3/2020,NA,NA,0
MMR010,Mandalay,MMR010031,Wundwin,ကန်ပတ်လည် (အ.လ.က),31/3/2020,NA,NA,2
MMR010,Mandalay,MMR010031,Wundwin,ညောင်ပင်ကုန်း,31/3/2020,NA,NA,2
MMR010,Mandalay,MMR010031,Wundwin,အောင်သာ (မ) (အ.လ.က) (ခွဲ),31/3/2020,NA,NA,3
MMR010,Mandalay,MMR010031,Wundwin,ကုက္ကိုစု (အ.မ.က),31/3/2020,NA,NA,1
MMR010,Mandalay,MMR010031,Wundwin,ရိုးကန် (မူလွန်),31/3/2020,NA,NA,1
MMR010,Mandalay,MMR010031,Wundwin,တောင်ဘို (အ.ထ.က),31/3/2020,NA,NA,1
MMR010,Mandalay,MMR010031,Wundwin,သခွတ်မြင့် (အ.ထ.က) (ခွဲ),31/3/2020,NA,NA,8
MMR010,Mandalay,MMR010031,Wundwin,ရွှေတောင် (အ.ထ.က),31/3/2020,NA,NA,2
MMR010,Mandalay,MMR010031,Wundwin,ခြင်္သေ့လက် (အ.မ.က),31/3/2020,NA,NA,7
MMR010,Mandalay,MMR010031,Wundwin,ကျွတ်ကန် (အ.ထ.က) (ခွဲ),31/3/2020,NA,NA,5
MMR010,Mandalay,MMR010031,Wundwin,ထိန်ကန် (မူလွန်),31/3/2020,NA,NA,8
MMR010,Mandalay,MMR010031,Wundwin,ရွာရှည် (အ.ထ.က),31/3/2020,NA,NA,1
MMR010,Mandalay,MMR010031,Wundwin,ကံကွေ့ (အ.လ.က),31/3/2020,NA,NA,0
MMR010,Mandalay,MMR010031,Wundwin,ဘုရားဖြူ (အ.လ.က),31/3/2020,NA,NA,0
MMR010,Mandalay,MMR010031,Wundwin,အင်္ကန်းကုန်း (ယောဂီဆောင်),31/3/2020,NA,NA,1
MMR010,Mandalay,MMR010031,Wundwin,ဒိုင်ကောင်းကုန်း (အ.ထ.က),31/3/2020,NA,NA,7
MMR010,Mandalay,MMR010031,Wundwin,သင်္ဃန်းဆွဲ (တဲခိုစခန်း),31/3/2020,NA,NA,8
MMR010,Mandalay,MMR010031,Wundwin,ဆူးပန်း (အ.ထ.က)(ခွဲ),31/3/2020,NA,NA,4
MMR010,Mandalay,MMR010031,Wundwin,ကံစွယ် (အ.ထ.က),31/3/2020,NA,NA,3
MMR010,Mandalay,MMR010031,Wundwin,မြောက်ပိုင်း (အ.မ.က),31/3/2020,NA,NA,5
MMR010,Mandalay,MMR010031,Wundwin,ဂုဏ်ရွာ (အ.ထ.က),31/3/2020,NA,NA,12
MMR010,Mandalay,MMR010031,Wundwin,ညောင်အုပ်ဖီး (အ.ထ.က),31/3/2020,NA,NA,4
MMR010,Mandalay,MMR010031,Wundwin,ခင်ကြီး (အ.ထ.က)(ခွဲ),31/3/2020,NA,NA,2
MMR010,Mandalay,MMR010031,Wundwin,နေပူကုန်း (အ.မ.က),31/3/2020,NA,NA,1
MMR010,Mandalay,MMR010031,Wundwin,ဆပ်ခင်း (အ.ထ.က),31/3/2020,NA,NA,0
MMR010,Mandalay,MMR010031,Wundwin,သီးကုန်း (အ.လ.က),31/3/2020,NA,NA,1
MMR010,Mandalay,MMR010031,Wundwin,လိန်ပင် (အ.မ.က),31/3/2020,NA,NA,2
MMR010,Mandalay,MMR010031,Wundwin,နတ်နန်း (အ.မ.က),31/3/2020,NA,NA,3
MMR010,Mandalay,MMR010031,Wundwin,ထနောင်းကုန်း (အ.မ.က),31/3/2020,NA,NA,1
MMR010,Mandalay,MMR010031,Wundwin,ဇချမ်းကုန်း (မ) (မူလွန်),31/3/2020,NA,NA,1
MMR010,Mandalay,MMR010031,Wundwin,မကျီးအုပ် (အုပ်ချုပ်ရေးရုံး),31/3/2020,NA,NA,11
MMR010,Mandalay,MMR010031,Wundwin,သဘွတ်ကုန်း (ဆေးခန်း),31/3/2020,NA,NA,6
MMR010,Mandalay,MMR010031,Wundwin,မကျီးတော (အ.မ.က),31/3/2020,NA,NA,12
MMR010,Mandalay,MMR010031,Wundwin,ရွှေဖလားကန် (တ) (အ.မ.က),31/3/2020,NA,NA,2
MMR010,Mandalay,MMR010031,Wundwin,ရွှေဖလားကန် (မ) (အ.မ.က),31/3/2020,NA,NA,2
MMR010,Mandalay,MMR010031,Wundwin,ပေါက်တော (အ.မ.က),31/3/2020,NA,NA,2
MMR010,Mandalay,MMR010031,Wundwin,တမာကုန်း (အ.ထ.က),31/3/2020,NA,NA,3
MMR010,Mandalay,MMR010031,Wundwin,ဇဝင်း (အ.မ.က),31/3/2020,NA,NA,45
MMR010,Mandalay,MMR010031,Wundwin,ရွာသစ် (အ.ထ.က),31/3/2020,NA,NA,3
MMR010,Mandalay,MMR010031,Wundwin,သဖန်းပင် (အ.မ.က),31/3/2020,NA,NA,1
MMR010,Mandalay,MMR010031,Wundwin,သဲတောလေး (မူလွန်),31/3/2020,NA,NA,2
MMR010,Mandalay,MMR010031,Wundwin,အင်းယင်း (အ.မ.က),31/3/2020,NA,NA,2
MMR010,Mandalay,MMR010031,Wundwin,ဒါးလှ (အ.မ.က),31/3/2020,NA,NA,2
MMR010,Mandalay,MMR010031,Wundwin,မြစ်သူငယ် (အ.မ.က),31/3/2020,NA,NA,2
MMR010,Mandalay,MMR010031,Wundwin,ပေါက်ကံ (အ.မ.က),31/3/2020,NA,NA,1
MMR010,Mandalay,MMR010031,Wundwin,သစ်ပုလွေကန် (အ.ထ.က)(ခွဲ),31/3/2020,NA,NA,3
MMR010,Mandalay,MMR010031,Wundwin,ရှောက်တော (မူလွန်),31/3/2020,NA,NA,19
MMR010,Mandalay,MMR010031,Wundwin,ပုလဝါ (အ.မ.က),31/3/2020,NA,NA,10
MMR010,Mandalay,MMR010031,Wundwin,ဆင်သွေကွေ့ (အ.မ.က),31/3/2020,NA,NA,11
MMR010,Mandalay,MMR010031,Wundwin,တဲစု (အ.ထ.က)(ခွဲ),31/3/2020,NA,NA,96
MMR010,Mandalay,MMR010031,Wundwin,ပင်းတလဲ (အ.ထ.က),31/3/2020,NA,NA,8
MMR010,Mandalay,MMR010031,Wundwin,လေးမျက်နှာ (အ.မ.က),31/3/2020,NA,NA,87
MMR010,Mandalay,MMR010031,Wundwin,လေးမျက်နှာ (ဘ.က),31/3/2020,NA,NA,88
MMR010,Mandalay,MMR010031,Wundwin,ညောင်ကားယား (အ.မ.က),31/3/2020,NA,NA,7
MMR010,Mandalay,MMR010031,Wundwin,ဖိုကုန်း (အ.မ.က),31/3/2020,NA,NA,2
MMR010,Mandalay,MMR010031,Wundwin,ရုံးပင်ကုန်း (အ.မ.က),31/3/2020,NA,NA,5
MMR010,Mandalay,MMR010031,Wundwin,မင်းကန် (အ.မ.က),31/3/2020,NA,NA,1
MMR010,Mandalay,MMR010031,Wundwin,ပျားစွဲ (န) (အ.မ.က),31/3/2020,NA,NA,6
MMR010,Mandalay,MMR010031,Wundwin,သုံးဒေါင့်အိုင် (ဘုရားဓမ္မာရုံ),31/3/2020,NA,NA,7
MMR010,Mandalay,MMR010031,Wundwin,ကျင်းရွာ (အ.လ.က)(ခွဲ),31/3/2020,NA,NA,6
MMR010,Mandalay,MMR010031,Wundwin,အောင်ချမ်းသာ (အ.ထ.က),31/3/2020,NA,NA,9
MMR010,Mandalay,MMR010031,Wundwin,ဇချမ်းကုန်း(တ) (အ.ထ.က)(ခွဲ),31/3/2020,NA,NA,1
MMR010,Mandalay,MMR010031,Wundwin,ရွာဝေ (အ.ထ.က)(ခွဲ),31/3/2020,NA,NA,5
MMR010,Mandalay,MMR010031,Wundwin,မြောက်ဆည် (အ.လ.က),31/3/2020,NA,NA,2
MMR010,Mandalay,MMR010031,Wundwin,ရာသင်္ချာ (အ.မ.က),31/3/2020,NA,NA,7
MMR010,Mandalay,MMR010031,Wundwin,တောင်ဆည် (အ.မ.က),31/3/2020,NA,NA,4
MMR010,Mandalay,MMR010031,Wundwin,ကုန်းကံ (အ.လ.က),31/3/2020,NA,NA,4
MMR010,Mandalay,MMR010031,Wundwin,သဖန်း (အ.ထ.က)(ခွဲ၀,31/3/2020,NA,NA,3
MMR010,Mandalay,MMR010031,Wundwin,ဖလန်ကန် (အ.မ.က),31/3/2020,NA,NA,4
MMR010,Mandalay,MMR010031,Wundwin,ထန်းပင်ကုန်း (ငှက်ပျောတောတဲ),31/3/2020,NA,NA,1
MMR010,Mandalay,MMR010031,Wundwin,အင်္ကန်းကြီး (အ.လ.က)(ခွဲ),31/3/2020,NA,NA,2
MMR010,Mandalay,MMR010031,Wundwin,ဂျမ်းလုံ (အ.မ.က),31/3/2020,NA,NA,1
MMR010,Mandalay,MMR010031,Wundwin,ကြပ်ကန် (အ.လ.က),31/3/2020,NA,NA,1
MMR010,Mandalay,MMR010031,Wundwin,(၂၉) စိုက်ကွင်း (အ.လ.က),31/3/2020,NA,NA,3
MMR010,Mandalay,MMR010031,Wundwin,ဖလန်ကျင်း (အ.မ.က),31/3/2020,NA,NA,2
MMR010,Mandalay,MMR010031,Wundwin,ထီးလှိုင် (ဆည်ရွာ) (အ.မ.က),31/3/2020,NA,NA,1
MMR007,Bago,MMR007011,Kyaukkyi,အ.ထ.က (ကျောက်ကြီး),3/4/2020,NA,NA,68
MMR007,Bago,MMR007011,Kyaukkyi,အ.ထ.က (နတ်သံကွင်း),3/4/2020,NA,NA,107
MMR007,Bago,MMR007011,Kyaukkyi,အ.ထ.က (မုန်း),3/4/2020,NA,NA,112
MMR007,Bago,MMR007011,Kyaukkyi,အ.ထ.က (ညောင်ပင်သာ),3/4/2020,NA,NA,43
MMR007,Bago (East),MMR007008,Shwegyin,ကံဘေးအိုင်ကျေးရွာ၊ ပန်းငွေရုံဓမ္မရုံသီရိပ်သာ,28/3/2020,2,0,2
MMR008,Bago (East),MMR007009,Shwegyin,ကံဘေးအိုင်ကျေးရွာ၊ ပန်းငွေရုံဓမ္မရုံသီရိပ်သာ,29/3/2020,2,1,3
MMR013,Yangon,MMR013040,Hlaing,Hlaing Quarantine,1/4/2020,NA,NA,334
MMR013,Yangon,MMR013040,Hlaing,ကေတုမတီဆောင်,1/4/2020,NA,NA,2
MMR013,Yangon,MMR013040,Hlaing,HOYA Hotel,1/4/2020,NA,NA,20
MMR013,Yangon,MMR013040,Hlaing,စစ်ပတ်တည်းခိုစခန်း (စစ်ကြောရေး),1/4/2020,NA,NA,68
MMR013,Yangon,MMR013040,Hlaing,Home Quarantine,1/4/2020,NA,NA,106
MMR009,Magway,MMR009019,Yesagyo,Home Quarantine,31/3/2020,119,58,177
MMR009,Magway,MMR009019,Yesagyo,Facility Quarantine,31/3/2020,87,37,124
MMR010,Mandalay,NA,NA,Hotel Quarantine,1/4/2020,NA,NA,90
MMR010,Mandalay,NA,NA,Facility Quarantine,1/4/2020,NA,NA,3115
MMR007,Bago (East),MMR007005,Nyaunglebin,အထက(၁) ပြွန်တန်ဆာ,2/4/2020,2,2,4
MMR007,Bago (East),MMR007005,Nyaunglebin,အလက(ခွဲ) ဝင်္ဂဘော်,2/4/2020,5,8,13
MMR007,Bago (East),MMR007005,Nyaunglebin,အထက(ခွဲ)ဝဲဝန်း,2/4/2020,11,5,16
MMR007,Bago (East),MMR007005,Nyaunglebin,အထက(ခွဲ)ဘိုင်းဒါး,2/4/2020,6,4,10
MMR007,Bago (East),MMR007005,Nyaunglebin,အထက(ခွဲ)ငါးပြေမ,2/4/2020,9,14,23
MMR007,Bago (East),MMR007005,Nyaunglebin,အလက(ခွဲ)ကဒါးသဲကျော,2/4/2020,32,14,46
MMR007,Bago (East),MMR007005,Nyaunglebin,အထက(ခွဲ)အောင်းကြီး,2/4/2020,14,7,21
MMR007,Bago (East),MMR007005,Nyaunglebin,အမက(လွန်)ရေတွင်းကုန်း,2/4/2020,1,4,5
MMR007,Bago (East),MMR007005,Nyaunglebin,အလက စစ်ကုန်းချောင်းသစ်,2/4/2020,7,5,12
MMR007,Bago (East),MMR007005,Nyaunglebin,အလက(ခွဲ)ရေကျော်,2/4/2020,7,4,11
MMR007,Bago (East),MMR007005,Nyaunglebin,အမက ကိုးတောင်,2/4/2020,1,1,2
MMR007,Bago (East),MMR007005,Nyaunglebin,အမက ကမွန်းကန်,2/4/2020,1,1,2
MMR007,Bago (East),MMR007005,Nyaunglebin,အမက မအူရိုး,2/4/2020,16,4,20
MMR007,Bago (East),MMR007005,Nyaunglebin,အလက(ခွဲ)ကတုတ်ကြောင်လျှာဖြား,2/4/2020,31,27,58
MMR007,Bago (East),MMR007005,Nyaunglebin,အလက(ခွဲ)ဆင်ကူး,2/4/2020,5,0,5
MMR007,Bago (East),MMR007005,Nyaunglebin,အလက(ခွဲ)နဘဲပင်,2/4/2020,3,0,3
